<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200313,080000,15.666,15.670,15.552,15.636,4528
20200313,090000,15.635,15.837,15.560,15.778,3598
20200313,100000,15.778,15.800,15.571,15.663,3293
20200313,110000,15.657,15.769,15.639,15.722,1718
20200313,120000,15.723,15.803,15.714,15.771,2139
20200313,130000,15.768,15.844,15.708,15.757,3695
20200313,140000,15.752,15.848,15.589,15.821,8140
20200313,150000,15.820,15.837,15.225,15.330,10322
20200313,160000,15.326,15.501,15.173,15.183,12068
20200313,170000,15.183,15.251,14.634,14.748,13734
20200313,180000,14.745,14.819,14.498,14.639,13222
20200313,190000,14.638,14.662,14.446,14.506,8378
20200313,200000,14.501,14.619,14.431,14.438,7381
20200313,210000,14.438,14.626,14.426,14.624,4422
20200313,220000,14.636,14.717,14.565,14.712,1527
20200316,000000,15.101,15.231,14.746,14.778,3625
20200316,010000,14.776,14.885,14.738,14.777,3616
20200316,020000,14.779,14.800,14.605,14.645,3183
20200316,030000,14.650,14.720,14.508,14.610,3478
20200316,040000,14.610,14.747,14.594,14.702,3281
20200316,050000,14.702,14.745,14.678,14.720,2097
20200316,060000,14.720,14.735,14.655,14.688,2166
20200316,070000,14.687,14.700,14.614,14.636,2209
20200316,080000,14.638,14.657,14.560,14.575,2201
20200316,090000,14.576,14.611,14.011,14.049,5395
20200316,100000,14.051,14.087,13.794,13.822,4579
20200316,110000,13.818,13.866,12.793,13.208,5071
20200316,120000,13.212,13.264,12.646,12.745,4009
20200316,130000,12.751,12.811,11.777,12.103,5103
20200316,140000,12.113,12.967,12.113,12.919,5075
20200316,150000,12.177,12.709,12.121,12.610,6748
20200316,160000,12.605,13.190,12.231,13.009,8974
20200316,170000,13.004,13.271,12.803,12.880,10401
20200316,180000,12.889,13.130,12.800,13.109,9009
20200316,190000,13.117,13.186,12.636,12.863,7399
20200316,200000,12.869,13.076,12.807,13.006,2210
20200316,210000,13.009,13.057,12.733,12.823,4822
20200316,220000,12.828,12.894,12.716,12.894,1500
20200317,000000,12.845,12.941,12.757,12.925,1287
20200317,010000,12.924,13.077,12.924,13.000,2800
20200317,020000,12.998,13.233,12.986,13.177,4686
20200317,030000,13.176,13.206,12.614,12.681,4942
20200317,040000,12.687,12.818,12.610,12.749,1952
20200317,050000,12.749,12.896,12.636,12.891,1190
20200317,060000,12.887,12.950,12.851,12.886,870
20200317,070000,12.883,12.893,12.705,12.743,1277
