<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130121,000000,31.853,32.085,31.835,31.950,11359
20130122,000000,31.979,32.336,31.796,32.208,17474
20130123,000000,32.157,32.456,32.082,32.221,16793
20130124,000000,32.187,32.207,31.583,31.623,21104
20130125,000000,31.598,31.761,31.103,31.151,18970
20130128,000000,31.142,31.287,30.721,30.833,16977
20130129,000000,30.826,31.442,30.813,31.371,16208
20130130,000000,31.338,32.261,31.232,31.950,19621
20130131,000000,31.931,32.098,31.093,31.376,20874
20130201,000000,31.398,32.137,31.265,31.805,21807
20130204,000000,31.804,31.898,31.365,31.724,19447
20130205,000000,31.727,32.089,31.598,31.796,20051
20130206,000000,31.757,31.876,31.585,31.797,15906
20130207,000000,31.805,31.905,31.265,31.441,22430
20130208,000000,31.423,31.671,31.309,31.381,18462
20130211,000000,31.391,31.505,30.806,30.896,18782
20130212,000000,30.894,31.130,30.568,31.087,23331
20130213,000000,31.113,31.201,30.725,30.747,22251
20130214,000000,30.738,31.048,30.225,30.350,30883
20130215,000000,30.336,30.454,29.679,29.768,42166
20130218,000000,29.800,30.153,29.777,29.931,27420
20130219,000000,29.924,30.128,29.220,29.414,34215
20130220,000000,29.429,29.616,28.265,28.513,48955
20130221,000000,28.521,28.888,28.310,28.626,51394
20130222,000000,28.656,28.913,28.354,28.693,34746
20130225,000000,28.761,29.238,28.557,28.945,41112
20130226,000000,28.946,29.451,28.577,29.362,56972
20130227,000000,29.367,29.407,28.839,28.945,38175
20130228,000000,28.969,29.162,28.386,28.459,51000
20130301,000000,28.481,28.772,27.927,28.568,49554
20130304,000000,28.641,28.798,28.428,28.545,37544
20130305,000000,28.561,29.077,28.514,28.650,34021
20130306,000000,28.656,29.066,28.523,29.019,36049
20130307,000000,29.005,29.069,28.736,28.843,40545
20130308,000000,28.848,29.247,28.330,28.932,35514
20130311,000000,28.940,29.082,28.709,28.974,28440
20130312,000000,28.971,29.344,28.874,29.159,31776
20130313,000000,29.156,29.271,28.849,28.909,33416
20130314,000000,28.934,28.951,28.544,28.796,32597
20130315,000000,28.838,29.010,28.704,28.747,25949
20130318,000000,28.975,29.053,28.599,28.894,37633
20130319,000000,28.944,29.096,28.644,28.925,31386
20130320,000000,28.934,28.995,28.618,28.792,28001
20130321,000000,28.797,29.324,28.720,29.141,22198
20130322,000000,29.152,29.174,28.521,28.715,26181
20130325,000000,28.722,28.903,28.478,28.839,26795
20130326,000000,28.814,28.860,28.626,28.725,21751
20130327,000000,28.742,28.802,28.105,28.630,24173
20130328,000000,28.663,28.825,28.203,28.297,24596
20130329,000000,28.373,28.398,28.363,28.378,10
20130401,000000,28.215,28.356,27.837,27.983,19088
20130402,000000,27.966,28.151,27.189,27.218,23616
20130403,000000,27.226,27.338,26.722,26.913,27649
20130404,000000,26.934,27.041,26.623,26.861,25978
20130405,000000,26.866,27.336,26.771,27.293,24274
20130408,000000,27.303,27.416,27.121,27.251,16140
20130409,000000,27.231,28.061,27.175,27.908,21448
20130410,000000,27.898,28.008,27.496,27.583,22424
20130411,000000,27.581,27.833,27.381,27.576,23686
20130412,000000,27.578,27.676,25.895,25.931,35640
20130415,000000,25.948,26.074,22.503,22.619,82163
20130416,000000,22.653,23.951,22.014,23.301,73413
20130417,000000,23.303,23.715,22.852,23.256,53311
20130418,000000,23.256,23.666,22.449,23.228,49322
20130419,000000,23.231,23.834,22.905,23.226,29016
20130422,000000,23.318,23.677,23.096,23.371,37069
20130423,000000,23.370,23.432,22.596,22.888,42687
20130424,000000,22.891,23.342,22.843,23.111,25307
20130425,000000,23.129,24.376,23.049,24.348,30588
20130426,000000,24.338,24.805,23.628,23.953,40239
20130429,000000,23.982,24.579,23.928,24.515,25515
20130430,000000,24.606,24.606,24.029,24.301,24188
20130501,000000,24.286,24.336,23.232,23.596,23334
20130502,000000,23.563,24.196,23.373,23.773,23674
20130503,000000,23.776,24.382,23.435,24.061,25329
20130506,000000,24.149,24.409,23.834,23.976,17559
20130507,000000,23.978,24.036,23.428,23.911,27904
20130508,000000,23.890,24.074,23.662,23.891,25378
20130509,000000,23.883,24.163,23.540,23.676,31166
20130510,000000,23.671,23.886,23.168,23.831,27601
20130513,000000,23.826,23.841,23.479,23.596,33757
20130514,000000,23.601,23.765,23.112,23.353,26533
20130515,000000,23.358,23.459,22.489,22.556,38449
20130516,000000,22.561,22.798,22.099,22.666,40535
20130517,000000,22.650,22.764,22.147,22.216,38387
20130520,000000,22.269,23.142,20.291,22.881,42678
20130521,000000,22.891,22.926,22.061,22.373,33518
20130522,000000,22.356,23.283,22.181,22.201,40111
20130523,000000,22.203,22.671,21.943,22.548,40845
20130524,000000,22.551,22.621,22.298,22.351,27375
20130527,000000,22.383,22.742,22.298,22.643,7396
20130528,000000,22.585,22.627,22.158,22.251,22965
20130529,000000,22.266,22.509,22.161,22.421,17600
20130530,000000,22.428,23.081,22.339,22.748,25019
20130531,000000,22.740,22.880,22.149,22.220,26795
20130603,000000,22.214,22.951,22.214,22.686,24415
20130604,000000,22.693,22.756,22.271,22.501,16006
20130605,000000,22.498,22.745,22.339,22.511,20746
20130606,000000,22.491,22.884,22.309,22.543,21767
20130607,000000,22.558,22.790,21.559,21.606,31774
20130610,000000,21.593,22.075,21.387,21.891,21384
20130611,000000,21.868,21.996,21.472,21.611,22092
20130612,000000,21.598,22.006,21.530,21.713,20131
20130613,000000,21.721,21.956,21.567,21.779,22990
20130614,000000,21.768,22.492,21.683,22.044,24254
20130617,000000,22.094,22.094,21.668,21.793,12674
20130618,000000,21.804,21.924,21.513,21.636,18743
20130619,000000,21.641,21.810,21.249,21.288,19568
20130620,000000,21.311,21.318,19.526,19.534,44704
20130621,000000,19.552,20.119,19.359,20.061,26433
20130624,000000,20.066,20.201,19.444,19.650,27301
20130625,000000,19.645,19.840,19.441,19.581,21064
20130626,000000,19.578,19.622,18.416,18.453,37042
20130627,000000,18.514,18.958,18.369,18.425,33944
20130628,000000,18.422,19.651,18.181,19.642,41944
20130701,000000,19.535,20.072,19.363,19.586,26879
20130702,000000,19.586,19.802,19.236,19.313,23866
20130703,000000,19.332,19.901,19.326,19.741,21523
20130704,000000,19.696,19.841,19.394,19.536,11269
20130705,000000,19.504,19.591,18.681,18.876,24551
20130708,000000,18.850,19.284,18.682,19.023,21780
20130709,000000,19.043,19.490,18.971,19.218,24189
20130710,000000,19.216,19.508,18.996,19.416,21505
